07-04-2026 12:50:32 | GET | cafeteria_api/produtos
07-04-2026 12:50:39 | GET | cafeteria_api/produtos
07-04-2026 12:50:45 | GET | cafeteria_api/produtos
07-04-2026 12:50:47 | GET | cafeteria_api/produtos
07-04-2026 12:50:48 | GET | cafeteria_api/produtos
07-04-2026 12:50:48 | GET | cafeteria_api/produtos
07-04-2026 12:50:48 | GET | cafeteria_api/produtos
07-04-2026 12:50:48 | GET | cafeteria_api/produtos
07-04-2026 12:50:49 | GET | cafeteria_api/produtos
07-04-2026 12:50:49 | GET | cafeteria_api/produtos
07-04-2026 12:51:41 | GET | cafeteria_api/produtos
07-04-2026 12:58:18 | GET | cafeteria_api/categorias
07-04-2026 12:58:19 | GET | cafeteria_api/produtos
07-04-2026 12:59:06 | GET | cafeteria_api/categorias
07-04-2026 12:59:07 | GET | cafeteria_api/produtos
07-04-2026 12:59:47 | GET | cafeteria_api/categorias
07-04-2026 12:59:49 | GET | cafeteria_api/produtos
07-04-2026 12:59:50 | GET | cafeteria_api/categorias
07-04-2026 13:00:16 | GET | cafeteria_api/categorias
07-04-2026 13:02:21 | GET | cafeteria_api/categorias
07-04-2026 13:03:13 | GET | cafeteria_api/categorias
07-04-2026 13:05:43 | GET | cafeteria_api/categorias
07-04-2026 13:06:01 | GET | cafeteria_api/produtos
07-04-2026 13:06:49 | GET | cafeteria_api/produtos
07-04-2026 13:17:38 | GET | cafeteria_api/produtos
07-04-2026 13:17:44 | GET | cafeteria_api/produtos
07-04-2026 13:17:44 | GET | cafeteria_api/categorias
07-04-2026 13:17:54 | GET | cafeteria_api/produtos
07-04-2026 13:18:09 | GET | cafeteria_api/categorias
07-04-2026 13:22:09 | GET | cafeteria_api/produtos
07-04-2026 13:26:18 | GET | cafeteria_api/produtos
07-04-2026 13:38:10 | GET | cafeteria_api/produtos
07-04-2026 13:43:49 | GET | cafeteria_api/produtos
07-04-2026 13:43:51 | GET | cafeteria_api/produtos
07-04-2026 13:43:59 | GET | cafeteria_api/produtos
07-04-2026 13:44:07 | GET | cafeteria_api/produtos
07-04-2026 13:44:19 | GET | cafeteria_api/produtos
07-04-2026 13:44:20 | GET | cafeteria_api/categorias
07-04-2026 13:46:49 | GET | cafeteria_api/categorias
07-04-2026 13:47:02 | GET | cafeteria_api/categorias
07-04-2026 13:47:39 | GET | cafeteria_api/produtos
07-04-2026 13:47:42 | GET | cafeteria_api/categorias
07-04-2026 13:47:43 | GET | cafeteria_api/produtos
07-04-2026 13:48:04 | GET | cafeteria_api/produtos
07-04-2026 13:48:04 | GET | cafeteria_api/categorias
07-04-2026 13:48:05 | GET | cafeteria_api/produtos
07-04-2026 13:49:37 | GET | cafeteria_api/produtos
07-04-2026 13:49:38 | GET | cafeteria_api/produtos
07-04-2026 13:49:39 | GET | cafeteria_api/categorias
07-04-2026 13:49:39 | GET | cafeteria_api/produtos
07-04-2026 13:49:40 | GET | cafeteria_api/categorias
07-04-2026 13:51:10 | GET | cafeteria_api/categorias
07-04-2026 13:52:10 | GET | cafeteria_api/categorias
07-04-2026 13:52:13 | GET | cafeteria_api/produtos
07-04-2026 13:52:17 | GET | cafeteria_api/categorias
07-04-2026 13:52:19 | GET | cafeteria_api/produtos
07-04-2026 13:52:30 | GET | cafeteria_api/categorias
07-04-2026 13:52:36 | GET | cafeteria_api/produtos
07-04-2026 13:52:39 | GET | cafeteria_api/produtos
07-04-2026 13:52:40 | GET | cafeteria_api/categorias
07-04-2026 13:52:41 | GET | cafeteria_api/produtos
07-04-2026 13:53:56 | GET | cafeteria_api/produtos
07-04-2026 14:08:36 | GET | cafeteria_api/categorias
07-04-2026 14:08:51 | GET | cafeteria_api/produtos
07-04-2026 14:09:58 | GET | cafeteria_api/categorias
07-04-2026 14:10:03 | GET | cafeteria_api/produtos
07-04-2026 14:12:00 | GET | cafeteria_api/produtos
07-04-2026 14:12:08 | GET | cafeteria_api/categorias
07-04-2026 14:12:09 | GET | cafeteria_api/produtos
07-04-2026 14:12:12 | GET | cafeteria_api/categorias
07-04-2026 14:20:19 | GET | cafeteria_api/categorias
07-04-2026 14:20:19 | GET | cafeteria_api/categorias
07-04-2026 14:20:20 | GET | cafeteria_api/categorias
07-04-2026 14:24:59 | GET | cafeteria_api/categorias
07-04-2026 14:25:03 | GET | cafeteria_api/categorias
07-04-2026 14:25:04 | GET | cafeteria_api/categorias
07-04-2026 14:25:06 | GET | cafeteria_api/categorias
07-04-2026 14:25:28 | GET | cafeteria_api/produtos
07-04-2026 14:25:31 | GET | cafeteria_api/categorias
07-04-2026 14:25:44 | GET | cafeteria_api/produtos
07-04-2026 14:25:44 | GET | cafeteria_api/categorias
07-04-2026 14:28:49 | GET | cafeteria_api/produtos
07-04-2026 14:29:02 | GET | cafeteria_api/categorias
07-04-2026 14:30:13 | GET | cafeteria_api/produtos
